Instance,Terminal,Layer,X location,Y location,Voltage
clkbuf_2_0__f_clk,VDD,Metal1,28.0800,33.5120,1.199861
clkbuf_0_clk,VDD,Metal1,41.0400,42.0870,1.199342
_118__16,VDD,Metal1,10.9070,56.5830,1.199821
fanout15,VDD,Metal1,30.2700,56.8670,1.199074
fanout14,VDD,Metal1,59.0700,33.8520,1.199604
fanout13,VDD,Metal1,22.5300,71.6520,1.199969
fanout12,VDD,Metal1,18.7500,41.7470,1.199922
fanout11,VDD,Metal1,35.9700,56.5320,1.196619
fanout10,VDD,Metal1,25.9500,34.1870,1.199861
output9,VDD,Metal1,59.4900,48.9720,1.199657
output8,VDD,Metal1,61.4100,48.9720,1.199658
input7,VDD,Metal1,12.5100,41.7470,1.199883
input6,VDD,Metal1,6.6900,41.7470,1.199883
input5,VDD,Metal1,6.6900,48.9720,1.199969
input4,VDD,Metal1,6.6900,64.4270,1.199898
input3,VDD,Metal1,6.6900,34.1870,1.199942
input2,VDD,Metal1,61.4700,41.4120,1.199322
input1,VDD,Metal1,6.6900,56.5320,1.199820
_119__31,VDD,Metal1,15.2270,64.1430,1.199899
_120__30,VDD,Metal1,33.2520,71.7030,1.199930
_121__29,VDD,Metal1,12.3470,26.5760,1.199949
_122__28,VDD,Metal1,21.4670,26.3430,1.199941
_123__27,VDD,Metal1,32.0270,18.7830,1.199874
_124__26,VDD,Metal1,48.3470,71.7030,1.199917
_125__25,VDD,Metal1,39.2270,64.3760,1.199887
_126__24,VDD,Metal1,49.0920,64.1430,1.199874
_127__23,VDD,Metal1,49.0920,49.0230,1.199676
_128__22,VDD,Metal1,49.0920,26.3430,1.195499
_129__21,VDD,Metal1,42.1070,26.3430,1.199397
_114__20,VDD,Metal1,10.4270,34.1360,1.199942
_115__19,VDD,Metal1,61.3070,33.9030,1.199605
_116__18,VDD,Metal1,49.5720,41.4630,1.199334
_117__17,VDD,Metal1,10.4270,49.0230,1.199969
_129_,VDD,Metal1,43.4620,19.3810,1.199857
_128_,VDD,Metal1,55.4620,18.4180,1.199852
_127_,VDD,Metal1,55.9420,49.6210,1.199658
_126_,VDD,Metal1,55.9420,57.1810,1.196562
_125_,VDD,Metal1,40.1020,63.7780,1.199881
_124_,VDD,Metal1,51.1420,64.7410,1.199871
_123_,VDD,Metal1,34.3420,25.9780,1.199833
_122_,VDD,Metal1,24.2620,19.3810,1.199950
_121_,VDD,Metal1,15.1420,33.5380,1.199942
_120_,VDD,Metal1,31.4170,64.7410,1.199890
_119_,VDD,Metal1,18.0220,64.7410,1.199899
