time	V(output)	V(n001)	V(n002)	V(n003)
3.500022465258241e-03	2.541908e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500025094867031e-03	2.457316e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500030354084612e-03	2.298028e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500040872519773e-03	2.014656e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500061909390095e-03	1.561226e+00	0.000000e+00	0.000000e+00	0.000000e+00
3.500103983130740e-03	9.590339e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500148047569721e-03	5.939612e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500193451576557e-03	3.696191e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500236949621570e-03	2.365867e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500287415952583e-03	1.400373e-01	0.000000e+00	0.000000e+00	0.000000e+00
3.500346253598292e-03	7.377414e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.500424771769122e-03	2.851829e-02	0.000000e+00	0.000000e+00	0.000000e+00
3.500523830938029e-03	6.948281e-03	0.000000e+00	0.000000e+00	0.000000e+00
3.500658267201598e-03	4.474816e-04	0.000000e+00	0.000000e+00	0.000000e+00
3.500843256359468e-03	-4.848245e-05	0.000000e+00	0.000000e+00	0.000000e+00
3.501153073604122e-03	1.703228e-05	0.000000e+00	0.000000e+00	0.000000e+00
3.501772708093431e-03	-1.029418e-05	0.000000e+00	0.000000e+00	0.000000e+00
3.503011977072049e-03	8.259814e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.505490515029285e-03	-7.148305e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.510447590943757e-03	6.915358e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.520361742772701e-03	-6.525777e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.539892992772701e-03	6.614132e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.559424242772702e-03	-6.327463e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.578955492772702e-03	6.418870e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.598486742772702e-03	-6.135131e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.618017992772702e-03	6.229415e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.637549242772702e-03	-5.948559e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.657080492772702e-03	6.045635e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.676611742772702e-03	-5.767575e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.696142992772702e-03	5.867361e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.715674242772702e-03	-5.592012e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.735205492772702e-03	5.694426e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.754736742772702e-03	-5.421708e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.774267992772702e-03	5.526672e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.793799242772702e-03	-5.256504e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.813330492772702e-03	5.363942e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.832861742772702e-03	-5.096249e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.852392992772702e-03	5.206087e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.871924242772702e-03	-4.940793e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.891455492772702e-03	5.052960e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.910986742772702e-03	-4.789993e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.930517992772701e-03	4.904421e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.950049242772701e-03	-4.643710e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.969580492772701e-03	4.760330e-06	0.000000e+00	0.000000e+00	0.000000e+00
3.989111742772700e-03	-4.501808e-06	0.000000e+00	0.000000e+00	0.000000e+00
4.000000000000000e-03	3.667083e-06	0.000000e+00	0.000000e+00	0.000000e+00
4.000010000000000e-03	4.664745e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000010104795227e-03	4.695726e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000010314385682e-03	4.733236e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000010733566590e-03	4.752475e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000011009251282e-03	4.756903e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000011374121573e-03	4.759875e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000011978921083e-03	4.762323e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000013188520102e-03	4.763393e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000014420909247e-03	4.763546e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000016885687539e-03	4.763401e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000020384393159e-03	4.763519e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000027381804398e-03	4.763397e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000038981626992e-03	4.763515e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000062181272183e-03	4.763397e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000108580562563e-03	4.763510e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000201379143323e-03	4.763396e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000386976304843e-03	4.763510e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.000758170627883e-03	4.763396e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.001500559273965e-03	4.763510e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.002985336566126e-03	4.763396e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.005954891150449e-03	4.763510e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.011894000319097e-03	4.763396e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.023772218656391e-03	4.763510e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.043303468656390e-03	4.763403e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.062834718656390e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.082365968656390e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.101897218656389e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.121428468656389e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.140959718656388e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.160490968656388e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.180022218656388e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.199553468656387e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.219084718656387e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.238615968656386e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.258147218656386e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.277678468656385e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.297209718656385e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.316740968656385e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.336272218656384e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.355803468656384e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.375334718656383e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.394865968656383e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.414397218656383e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.433928468656382e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.453459718656382e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.472990968656381e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.492522218656381e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.512053468656380e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.531584718656380e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.551115968656380e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.570647218656379e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.590178468656379e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.609709718656378e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.629240968656378e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.648772218656378e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.668303468656377e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.687834718656377e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.707365968656376e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.726897218656376e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.746428468656375e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.765959718656375e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.785490968656375e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.805022218656374e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.824553468656374e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.844084718656373e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.863615968656373e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.883147218656373e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.902678468656372e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.922209718656372e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.941740968656371e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.961272218656371e-03	4.763525e+00	0.000000e+00	0.000000e+00	5.000000e+00
4.980803468656370e-03	4.763413e+00	0.000000e+00	0.000000e+00	5.000000e+00
5.000000000000000e-03	4.763526e+00	0.000000e+00	0.000000e+00	5.000000e+00
5.000010000000000e-03	5.962031e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000010103125735e-03	5.954847e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000010309377204e-03	5.940125e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000010721880142e-03	5.910805e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000011367626282e-03	5.865471e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000012659118563e-03	5.776567e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000015242103125e-03	5.605896e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000020408072249e-03	5.291194e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000027157685142e-03	4.932591e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000030328057748e-03	4.815809e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000032891752874e-03	4.786736e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000035686506255e-03	4.789051e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000038075962214e-03	4.788408e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000040552779604e-03	4.788523e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000045506414385e-03	4.788496e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000053056305223e-03	4.788508e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000067042895246e-03	4.788510e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000095016075293e-03	4.788501e+00	5.000000e+00	0.000000e+00	5.000000e+00
5.000150962435385e-03	4.788511e+00	5.000000e+00	0.000000e+00	5.000000e+00
