Instance,Terminal,Layer,X location,Y location,Voltage
hold44,VSS,Metal1,45.8810,37.5920,0.000569
hold43,VSS,Metal1,55.9610,53.1270,0.000237
hold42,VSS,Metal1,25.7210,68.2470,0.000037
hold41,VSS,Metal1,55.9610,45.5670,0.000768
hold40,VSS,Metal1,21.8810,38.0070,0.000048
hold39,VSS,Metal1,30.4380,68.2470,0.000051
hold38,VSS,Metal1,56.4410,38.0070,0.000621
hold37,VSS,Metal1,21.8810,52.7120,0.000032
hold36,VSS,Metal1,27.1610,60.2720,0.000097
hold35,VSS,Metal1,42.5210,67.8320,0.000087
hold34,VSS,Metal1,32.9210,22.4720,0.000074
hold33,VSS,Metal1,55.9610,30.4470,0.000102
hold32,VSS,Metal1,22.8410,37.5920,0.000048
clkbuf_2_3__f_clk,VSS,Metal1,56.4000,60.8690,0.001307
clkbuf_2_2__f_clk,VSS,Metal1,22.8000,60.8690,0.000097
clkbuf_2_1__f_clk,VSS,Metal1,56.4000,23.0690,0.000133
clkbuf_2_0__f_clk,VSS,Metal1,28.0800,30.6290,0.000055
clkbuf_0_clk,VSS,Metal1,41.0400,44.9700,0.000727
_118__16,VSS,Metal1,10.5950,53.0550,0.000057
fanout15,VSS,Metal1,30.2750,60.2670,0.000627
fanout14,VSS,Metal1,59.0750,30.4520,0.000102
fanout13,VSS,Metal1,22.5250,68.2520,0.000054
fanout12,VSS,Metal1,18.7550,45.1470,0.000069
fanout11,VSS,Metal1,35.9650,53.1320,0.000138
fanout10,VSS,Metal1,25.9550,37.5870,0.000032
output9,VSS,Metal1,59.4850,45.5720,0.000768
output8,VSS,Metal1,61.4050,45.5720,0.000773
input7,VSS,Metal1,12.5150,45.1470,0.000071
input6,VSS,Metal1,6.6850,45.1470,0.000074
input5,VSS,Metal1,6.6850,45.5720,0.000074
input4,VSS,Metal1,6.6850,67.8270,0.000067
input3,VSS,Metal1,6.6850,37.5870,0.000073
input2,VSS,Metal1,61.4750,38.0120,0.000622
input1,VSS,Metal1,6.6850,53.1320,0.000060
_119__31,VSS,Metal1,14.9150,60.6150,0.000097
_120__30,VSS,Metal1,33.5650,68.1750,0.000052
_121__29,VSS,Metal1,12.0350,30.1050,0.000076
_122__28,VSS,Metal1,21.1550,22.8150,0.000060
_123__27,VSS,Metal1,31.7150,15.2550,0.000072
_124__26,VSS,Metal1,48.0350,68.1750,0.000106
_125__25,VSS,Metal1,38.9150,67.9050,0.000072
_126__24,VSS,Metal1,49.4050,60.6150,0.001133
_127__23,VSS,Metal1,49.4050,45.4950,0.000732
_128__22,VSS,Metal1,49.4050,22.8150,0.000099
_129__21,VSS,Metal1,41.7950,22.8150,0.000084
_114__20,VSS,Metal1,10.1150,37.6650,0.000073
_115__19,VSS,Metal1,60.9950,30.3750,0.000102
_116__18,VSS,Metal1,49.8850,37.9350,0.000606
_117__17,VSS,Metal1,10.1150,45.4950,0.000071
_129_,VSS,Metal1,43.3050,22.3870,0.000085
_128_,VSS,Metal1,55.3050,15.4120,0.000181
_127_,VSS,Metal1,55.7850,52.6270,0.000237
_126_,VSS,Metal1,55.7850,60.1870,0.001307
_125_,VSS,Metal1,39.9450,60.7720,0.000732
_124_,VSS,Metal1,50.9850,67.7470,0.000106
_123_,VSS,Metal1,34.1850,22.9720,0.000074
_122_,VSS,Metal1,24.1050,22.3870,0.000060
_121_,VSS,Metal1,14.9850,30.5320,0.000076
_120_,VSS,Metal1,31.5750,67.7470,0.000051
_119_,VSS,Metal1,17.8650,67.7470,0.000054
_118_,VSS,Metal1,13.5450,60.1870,0.000097
_117_,VSS,Metal1,13.0650,52.6270,0.000057
_116_,VSS,Metal1,55.7850,37.5070,0.000621
_115_,VSS,Metal1,56.0550,29.9470,0.000102
_114_,VSS,Metal1,13.0650,38.0920,0.000073
_113_,VSS,Metal1,38.3670,29.9700,0.000057
_112_,VSS,Metal1,34.2160,37.5230,0.000292
_111_,VSS,Metal1,45.5670,22.9490,0.000085
_110_,VSS,Metal1,41.7670,37.5130,0.000523
_109_,VSS,Metal1,46.0470,45.6290,0.000727
_108_,VSS,Metal1,41.4160,45.6360,0.000727
_107_,VSS,Metal1,46.0470,52.6500,0.000237
_106_,VSS,Metal1,42.3760,52.6430,0.000217
_105_,VSS,Metal1,35.5520,60.2100,0.000727
_104_,VSS,Metal1,34.2160,52.6430,0.000089
_103_,VSS,Metal1,42.6870,60.2100,0.000733
_102_,VSS,Metal1,39.8320,52.6330,0.000184
_101_,VSS,Metal1,29.2470,37.5300,0.000199
_100_,VSS,Metal1,27.7030,38.0760,0.000195
_099_,VSS,Metal1,24.9920,22.9490,0.000060
_098_,VSS,Metal1,23.6560,45.0830,0.000063
_097_,VSS,Metal1,19.7120,29.9700,0.000076
_096_,VSS,Metal1,25.3030,38.0760,0.000032
_095_,VSS,Metal1,31.1670,60.7490,0.000627
_094_,VSS,Metal1,27.0160,52.6430,0.000040
_093_,VSS,Metal1,22.5920,60.2100,0.000097
_092_,VSS,Metal1,23.8630,45.6360,0.000063
_091_,VSS,Metal1,17.7920,53.1890,0.000057
_090_,VSS,Metal1,26.2630,45.6360,0.000061
_089_,VSS,Metal1,16.8320,45.6290,0.000070
_088_,VSS,Metal1,20.6320,45.6460,0.000067
_087_,VSS,Metal1,46.5270,38.0690,0.000569
_086_,VSS,Metal1,41.4160,38.0760,0.000523
_085_,VSS,Metal1,46.0470,29.9700,0.000089
_084_,VSS,Metal1,39.0160,37.5230,0.000419
_083_,VSS,Metal1,17.7920,37.5300,0.000073
_082_,VSS,Metal1,21.1120,45.0730,0.000066
_081_,VSS,Metal1,10.5070,45.1800,0.000071
_080_,VSS,Metal1,51.8750,45.1070,0.000749
_079_,VSS,Metal1,55.1010,45.1120,0.000768
_078_,VSS,Metal1,51.4120,45.5400,0.000749
_077_,VSS,Metal1,32.2120,45.5400,0.000599
_076_,VSS,Metal1,47.6450,53.2280,0.000237
_075_,VSS,Metal1,29.3320,52.7400,0.000051
_074_,VSS,Metal1,28.5750,45.6230,0.000196
_073_,VSS,Metal1,25.0850,53.2280,0.000030
_072_,VSS,Metal1,51.8920,37.9800,0.000621
_071_,VSS,Metal1,32.2120,45.1800,0.000599
_070_,VSS,Metal1,48.6050,30.5480,0.000089
_069_,VSS,Metal1,32.6920,37.9800,0.000269
_068_,VSS,Metal1,28.2680,45.1800,0.000196
_067_,VSS,Metal1,27.0050,29.9320,0.000055
_066_,VSS,Metal1,36.9070,37.6200,0.000292
_065_,VSS,Metal1,38.6550,38.0630,0.000419
_064_,VSS,Metal1,31.7320,52.7400,0.000076
